conversation_id,technique,iteration,participant,restaurant,preferences,pre_answer,constraints,cons_answer,integrated,integrated_answer
9,CoT,1,C,おでんやden（おでんやでん）,"A1,A2,A4",A7,None,None,"A1,A2,A4",A7
9,CoT,1,C,純米酒専門YATA 新宿三丁目店（ヤタ）,A1,A7,A4,A1,"A1,A4","A7,A1"
9,CoT,1,C,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,None,None,"A2,A1",A2,"A2,A1",A2
9,CoT,1,C,赤から 新宿東口店,A7,None,None,None,A7,None
9,CoT,1,C,居酒屋 四谷 なごみ,None,None,None,None,None,None
9,CoT,1,C,赤から 渋谷本店,None,None,None,None,None,None
9,CoT,1,C,Nihonbashi 1-1-1,None,None,None,None,None,None
9,CoT,1,C,餃子専門店 藤井屋,None,None,None,None,None,None
9,CoT,1,C,北丸 新宿南口店 （きたまる）,A7,None,None,None,A7,None
9,CoT,1,C,牛たん酒場 たん之助 COMORE四谷店,None,None,None,None,None,None
9,CoT,1,C,赤から 赤坂TBS通り店,None,None,None,None,None,None
9,CoT,1,D,おでんやden（おでんやでん）,"A1,A2",A7,None,None,"A1,A2",A7
9,CoT,1,D,純米酒専門YATA 新宿三丁目店（ヤタ）,None,None,None,None,None,None
9,CoT,1,D,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,None,None,None,None,None,None
9,CoT,1,D,赤から 新宿東口店,A1,A7,A5,A1,"A1,A5","A7,A1"
9,CoT,1,D,居酒屋 四谷 なごみ,None,None,None,None,None,None
9,CoT,1,D,赤から 渋谷本店,None,A7,A5,A1,A5,"A7,A1"
9,CoT,1,D,Nihonbashi 1-1-1,None,None,None,None,None,None
9,CoT,1,D,餃子専門店 藤井屋,None,None,None,None,None,None
9,CoT,1,D,北丸 新宿南口店 （きたまる）,None,None,None,None,None,None
9,CoT,1,D,牛たん酒場 たん之助 COMORE四谷店,None,None,None,None,None,None
9,CoT,1,D,赤から 赤坂TBS通り店,None,A7,A5,A1,A5,"A7,A1"
9,CoT,2,A,おでんやden（おでんやでん）,"A1,A2,A4",A7,None,None,"A1,A2,A4",A7
9,CoT,2,A,純米酒専門YATA 新宿三丁目店（ヤタ）,A1,"A7,A1",A2,A2,"A1,A2","A7,A1,A2"
9,CoT,2,A,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,None,A7,None,None,None,A7
9,CoT,2,A,赤から 新宿東口店,A1,A7,None,None,A1,A7
9,CoT,2,A,居酒屋 四谷 なごみ,A2,None,None,None,A2,None
9,CoT,2,A,赤から 渋谷本店,A1,A7,None,None,A1,A7
9,CoT,2,A,Nihonbashi 1-1-1,None,None,None,None,None,None
9,CoT,2,A,餃子専門店 藤井屋,None,None,None,None,None,None
9,CoT,2,A,北丸 新宿南口店 （きたまる）,None,None,None,None,None,None
9,CoT,2,A,牛たん酒場 たん之助 COMORE四谷店,A2,None,None,None,A2,None
9,CoT,2,A,赤から 赤坂TBS通り店,A1,A7,None,None,A1,A7
9,CoT,2,B,おでんやden（おでんやでん）,A4,A7,None,None,A4,A7
9,CoT,2,B,純米酒専門YATA 新宿三丁目店（ヤタ）,"A1,A2",None,"A1,A4","A1,A1","A1,A2,A4",A1
9,CoT,2,B,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,A1,A7,None,None,A1,A7
9,CoT,2,B,赤から 新宿東口店,A2,None,"A5,A4",None,"A2,A5,A4",None
9,CoT,2,B,居酒屋 四谷 なごみ,None,None,None,None,None,None
9,CoT,2,B,赤から 渋谷本店,None,None,"A5,A4",None,"A5,A4",None
9,CoT,2,B,Nihonbashi 1-1-1,None,None,None,None,None,None
9,CoT,2,B,餃子専門店 藤井屋,None,None,None,None,None,None
9,CoT,2,B,北丸 新宿南口店 （きたまる）,A2,None,None,None,A2,None
9,CoT,2,B,牛たん酒場 たん之助 COMORE四谷店,None,None,None,None,None,None
9,CoT,2,B,赤から 赤坂TBS通り店,None,None,"A5,A4",None,"A5,A4",None
9,CoT,2,C,おでんやden（おでんやでん）,"A1,A2,A3",A7,None,None,"A1,A2,A3",A7
9,CoT,2,C,純米酒専門YATA 新宿三丁目店（ヤタ）,A1,A7,"A2,A3",A1,"A1,A2,A3","A7,A1"
9,CoT,2,C,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,None,None,A2,A2,A2,A2
9,CoT,2,C,赤から 新宿東口店,None,None,None,None,None,None
9,CoT,2,C,居酒屋 四谷 なごみ,A2,None,None,None,A2,None
9,CoT,2,C,赤から 渋谷本店,None,None,A2,None,A2,None
9,CoT,2,C,Nihonbashi 1-1-1,None,None,None,None,None,None
9,CoT,2,C,餃子専門店 藤井屋,None,None,None,None,None,None
9,CoT,2,C,北丸 新宿南口店 （きたまる）,None,None,None,None,None,None
9,CoT,2,C,牛たん酒場 たん之助 COMORE四谷店,A2,None,None,None,A2,None
9,CoT,2,C,赤から 赤坂TBS通り店,None,None,None,None,None,None
9,CoT,2,D,おでんやden（おでんやでん）,"A1,A2,A3",A7,None,None,"A1,A2,A3",A7
9,CoT,2,D,純米酒専門YATA 新宿三丁目店（ヤタ）,None,None,None,None,None,None
9,CoT,2,D,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,None,None,None,None,None,None
9,CoT,2,D,赤から 新宿東口店,A1,A7,A5,A1,"A1,A5","A7,A1"
9,CoT,2,D,居酒屋 四谷 なごみ,A2,None,None,None,A2,None
9,CoT,2,D,赤から 渋谷本店,None,A7,A5,A1,A5,"A7,A1"
9,CoT,2,D,Nihonbashi 1-1-1,None,None,None,None,None,None
9,CoT,2,D,餃子専門店 藤井屋,None,None,None,None,None,None
9,CoT,2,D,北丸 新宿南口店 （きたまる）,None,None,None,None,None,None
9,CoT,2,D,牛たん酒場 たん之助 COMORE四谷店,A2,None,None,None,A2,None
9,CoT,2,D,赤から 赤坂TBS通り店,None,A7,A5,A1,A5,"A7,A1"
9,CoT,3,A,おでんやden（おでんやでん）,"A1,A2",A7,None,None,"A1,A2",A7
9,CoT,3,A,純米酒専門YATA 新宿三丁目店（ヤタ）,A1,"A7,A1",A2,A2,"A1,A2","A7,A1,A2"
9,CoT,3,A,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,None,A7,None,None,None,A7
9,CoT,3,A,赤から 新宿東口店,A1,A7,None,None,A1,A7
9,CoT,3,A,居酒屋 四谷 なごみ,None,None,None,None,None,None
9,CoT,3,A,赤から 渋谷本店,A1,A7,None,None,A1,A7
9,CoT,3,A,Nihonbashi 1-1-1,None,None,None,None,None,None
9,CoT,3,A,餃子専門店 藤井屋,None,None,None,None,None,None
9,CoT,3,A,北丸 新宿南口店 （きたまる）,None,None,None,None,None,None
9,CoT,3,A,牛たん酒場 たん之助 COMORE四谷店,None,None,None,None,None,None
9,CoT,3,A,赤から 赤坂TBS通り店,A1,A7,None,None,A1,A7
9,CoT,3,B,おでんやden（おでんやでん）,"A1,A2,A4",A7,None,None,"A1,A2,A4",A7
9,CoT,3,B,純米酒専門YATA 新宿三丁目店（ヤタ）,None,None,"A1,A4","A1,A1","A1,A4",A1
9,CoT,3,B,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,A1,A7,None,None,A1,A7
9,CoT,3,B,赤から 新宿東口店,None,None,"A4,A5",None,"A4,A5",None
9,CoT,3,B,居酒屋 四谷 なごみ,None,None,None,None,None,None
9,CoT,3,B,赤から 渋谷本店,None,None,"A4,A5",None,"A4,A5",None
9,CoT,3,B,Nihonbashi 1-1-1,None,None,None,None,None,None
9,CoT,3,B,餃子専門店 藤井屋,None,None,None,None,None,None
9,CoT,3,B,北丸 新宿南口店 （きたまる）,None,None,None,None,None,None
9,CoT,3,B,牛たん酒場 たん之助 COMORE四谷店,None,None,None,None,None,None
9,CoT,3,B,赤から 赤坂TBS通り店,None,None,"A4,A5",None,"A4,A5",None
9,CoT,3,C,おでんやden（おでんやでん）,"A1,A2",A7,None,None,"A1,A2",A7
9,CoT,3,C,純米酒専門YATA 新宿三丁目店（ヤタ）,A1,A7,None,A1,A1,"A7,A1"
9,CoT,3,C,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,None,None,"A1,A2",A2,"A1,A2",A2
9,CoT,3,C,赤から 新宿東口店,None,None,None,None,None,None
9,CoT,3,C,居酒屋 四谷 なごみ,None,None,None,None,None,None
9,CoT,3,C,赤から 渋谷本店,None,None,A2,None,A2,None
9,CoT,3,C,Nihonbashi 1-1-1,None,None,None,None,None,None
9,CoT,3,C,餃子専門店 藤井屋,None,None,None,None,None,None
9,CoT,3,C,北丸 新宿南口店 （きたまる）,None,None,None,None,None,None
9,CoT,3,C,牛たん酒場 たん之助 COMORE四谷店,None,None,None,None,None,None
9,CoT,3,C,赤から 赤坂TBS通り店,None,None,None,None,None,None
9,CoT,3,D,おでんやden（おでんやでん）,"A1,A2,A3",A7,None,None,"A1,A2,A3",A7
9,CoT,3,D,純米酒専門YATA 新宿三丁目店（ヤタ）,None,None,None,None,None,None
9,CoT,3,D,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,None,None,None,None,None,None
9,CoT,3,D,赤から 新宿東口店,A1,A7,A5,A1,"A1,A5","A7,A1"
9,CoT,3,D,居酒屋 四谷 なごみ,None,None,None,None,None,None
9,CoT,3,D,赤から 渋谷本店,None,A7,A5,A1,A5,"A7,A1"
9,CoT,3,D,Nihonbashi 1-1-1,None,None,None,None,None,None
9,CoT,3,D,餃子専門店 藤井屋,None,None,None,None,None,None
9,CoT,3,D,北丸 新宿南口店 （きたまる）,None,None,None,None,None,None
9,CoT,3,D,牛たん酒場 たん之助 COMORE四谷店,None,None,None,None,None,None
9,CoT,3,D,赤から 赤坂TBS通り店,None,A7,A5,A1,A5,"A7,A1"
9,CoT,4,A,おでんやden（おでんやでん）,"A1,A2",A7,None,None,"A1,A2",A7
9,CoT,4,A,純米酒専門YATA 新宿三丁目店（ヤタ）,A1,"A7,A1",A2,A2,"A1,A2","A7,A1,A2"
9,CoT,4,A,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,A7,A7,None,None,A7,A7
9,CoT,4,A,赤から 新宿東口店,A1,A7,None,None,A1,A7
9,CoT,4,A,居酒屋 四谷 なごみ,A2,None,None,None,A2,None
9,CoT,4,A,赤から 渋谷本店,A1,A7,None,None,A1,A7
9,CoT,4,A,Nihonbashi 1-1-1,None,None,None,None,None,None
9,CoT,4,A,餃子専門店 藤井屋,None,None,None,None,None,None
9,CoT,4,A,北丸 新宿南口店 （きたまる）,None,None,None,None,None,None
9,CoT,4,A,牛たん酒場 たん之助 COMORE四谷店,A2,None,None,None,A2,None
9,CoT,4,A,赤から 赤坂TBS通り店,A1,A7,None,None,A1,A7
9,CoT,4,B,おでんやden（おでんやでん）,"A2,A4",A7,None,None,"A2,A4",A7
9,CoT,4,B,純米酒専門YATA 新宿三丁目店（ヤタ）,A2,None,"A1,A7","A1,A1","A2,A1,A7",A1
9,CoT,4,B,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,A1,A7,A1,None,A1,A7
9,CoT,4,B,赤から 新宿東口店,None,None,A5,None,A5,None
9,CoT,4,B,居酒屋 四谷 なごみ,None,None,None,None,None,None
9,CoT,4,B,赤から 渋谷本店,None,None,A5,None,A5,None
9,CoT,4,B,Nihonbashi 1-1-1,None,None,None,None,None,None
9,CoT,4,B,餃子専門店 藤井屋,A1,None,None,None,A1,None
9,CoT,4,B,北丸 新宿南口店 （きたまる）,None,None,None,None,None,None
9,CoT,4,B,牛たん酒場 たん之助 COMORE四谷店,None,None,None,None,None,None
9,CoT,4,B,赤から 赤坂TBS通り店,None,None,A5,None,A5,None
9,CoT,4,C,おでんやden（おでんやでん）,"A1,A2",A7,None,None,"A1,A2",A7
9,CoT,4,C,純米酒専門YATA 新宿三丁目店（ヤタ）,A1,A7,"A2,A4",A1,"A1,A2,A4","A7,A1"
9,CoT,4,C,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,None,None,"A2,A1",A2,"A2,A1",A2
9,CoT,4,C,赤から 新宿東口店,None,None,None,None,None,None
9,CoT,4,C,居酒屋 四谷 なごみ,None,None,None,None,None,None
9,CoT,4,C,赤から 渋谷本店,None,None,None,None,None,None
9,CoT,4,C,Nihonbashi 1-1-1,None,None,None,None,None,None
9,CoT,4,C,餃子専門店 藤井屋,None,None,None,None,None,None
9,CoT,4,C,北丸 新宿南口店 （きたまる）,None,None,None,None,None,None
9,CoT,4,C,牛たん酒場 たん之助 COMORE四谷店,None,None,None,None,None,None
9,CoT,4,C,赤から 赤坂TBS通り店,None,None,None,None,None,None
9,CoT,4,D,おでんやden（おでんやでん）,"A1,A3",A7,A4,None,"A1,A3,A4",A7
9,CoT,4,D,純米酒専門YATA 新宿三丁目店（ヤタ）,A3,None,None,None,A3,None
9,CoT,4,D,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,None,None,None,None,None,None
9,CoT,4,D,赤から 新宿東口店,None,A7,A5,A1,A5,"A7,A1"
9,CoT,4,D,居酒屋 四谷 なごみ,None,None,None,None,None,None
9,CoT,4,D,赤から 渋谷本店,None,A7,A5,A1,A5,"A7,A1"
9,CoT,4,D,Nihonbashi 1-1-1,None,None,None,None,None,None
9,CoT,4,D,餃子専門店 藤井屋,None,None,None,None,None,None
9,CoT,4,D,北丸 新宿南口店 （きたまる）,None,None,None,None,None,None
9,CoT,4,D,牛たん酒場 たん之助 COMORE四谷店,None,None,None,None,None,None
9,CoT,4,D,赤から 赤坂TBS通り店,None,A7,A5,A1,A5,"A7,A1"
9,CoT,5,A,おでんやden（おでんやでん）,"A1,A2,A4",A7,None,None,"A1,A2,A4",A7
9,CoT,5,A,純米酒専門YATA 新宿三丁目店（ヤタ）,A1,"A7,A1",A2,A2,"A1,A2","A7,A1,A2"
9,CoT,5,A,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,None,A7,None,None,None,A7
9,CoT,5,A,赤から 新宿東口店,A1,A7,None,None,A1,A7
9,CoT,5,A,居酒屋 四谷 なごみ,A2,None,None,None,A2,None
9,CoT,5,A,赤から 渋谷本店,A1,A7,None,None,A1,A7
9,CoT,5,A,Nihonbashi 1-1-1,None,None,None,None,None,None
9,CoT,5,A,餃子専門店 藤井屋,None,None,None,None,None,None
9,CoT,5,A,北丸 新宿南口店 （きたまる）,None,None,None,None,None,None
9,CoT,5,A,牛たん酒場 たん之助 COMORE四谷店,A2,None,None,None,A2,None
9,CoT,5,A,赤から 赤坂TBS通り店,A1,A7,None,None,A1,A7
9,CoT,5,B,おでんやden（おでんやでん）,"A4,A1",A7,None,None,"A4,A1",A7
9,CoT,5,B,純米酒専門YATA 新宿三丁目店（ヤタ）,A1,None,"A1,A4","A1,A1","A1,A4",A1
9,CoT,5,B,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,A1,A7,None,None,A1,A7
9,CoT,5,B,赤から 新宿東口店,None,None,A5,None,A5,None
9,CoT,5,B,居酒屋 四谷 なごみ,None,None,None,None,None,None
9,CoT,5,B,赤から 渋谷本店,None,None,A5,None,A5,None
9,CoT,5,B,Nihonbashi 1-1-1,None,None,None,None,None,None
9,CoT,5,B,餃子専門店 藤井屋,A1,None,None,None,A1,None
9,CoT,5,B,北丸 新宿南口店 （きたまる）,None,None,None,None,None,None
9,CoT,5,B,牛たん酒場 たん之助 COMORE四谷店,None,None,None,None,None,None
9,CoT,5,B,赤から 赤坂TBS通り店,None,None,A5,None,A5,None
9,CoT,5,C,おでんやden（おでんやでん）,"A1,A2",A7,None,None,"A1,A2",A7
9,CoT,5,C,純米酒専門YATA 新宿三丁目店（ヤタ）,A1,A7,A2,A1,"A1,A2","A7,A1"
9,CoT,5,C,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,None,None,"A1,A2",A2,"A1,A2",A2
9,CoT,5,C,赤から 新宿東口店,None,None,None,None,None,None
9,CoT,5,C,居酒屋 四谷 なごみ,None,None,None,None,None,None
9,CoT,5,C,赤から 渋谷本店,None,None,A2,None,A2,None
9,CoT,5,C,Nihonbashi 1-1-1,None,None,None,None,None,None
9,CoT,5,C,餃子専門店 藤井屋,None,None,None,None,None,None
9,CoT,5,C,北丸 新宿南口店 （きたまる）,None,None,None,None,None,None
9,CoT,5,C,牛たん酒場 たん之助 COMORE四谷店,None,None,None,None,None,None
9,CoT,5,C,赤から 赤坂TBS通り店,None,None,None,None,None,None
9,CoT,5,D,おでんやden（おでんやでん）,"A1,A2,A3",A7,None,None,"A1,A2,A3",A7
9,CoT,5,D,純米酒専門YATA 新宿三丁目店（ヤタ）,None,None,A3,None,A3,None
9,CoT,5,D,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,None,None,None,None,None,None
9,CoT,5,D,赤から 新宿東口店,A1,A7,A5,A1,"A1,A5","A7,A1"
9,CoT,5,D,居酒屋 四谷 なごみ,None,None,None,None,None,None
9,CoT,5,D,赤から 渋谷本店,A1,A7,A5,A1,"A1,A5","A7,A1"
9,CoT,5,D,Nihonbashi 1-1-1,None,None,None,None,None,None
9,CoT,5,D,餃子専門店 藤井屋,None,None,None,None,None,None
9,CoT,5,D,北丸 新宿南口店 （きたまる）,None,None,None,None,None,None
9,CoT,5,D,牛たん酒場 たん之助 COMORE四谷店,None,None,None,None,None,None
9,CoT,5,D,赤から 赤坂TBS通り店,A1,A7,A5,A1,"A1,A5","A7,A1"
9,SR,1,A,おでんやden（おでんやでん）,"A1,A2,A4",A7,None,None,"A1,A2,A4",A7
9,SR,1,A,純米酒専門YATA 新宿三丁目店（ヤタ）,"A1,A5","A7,A1",A2,A2,"A1,A5,A2","A7,A1,A2"
9,SR,1,A,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,None,A7,None,None,None,A7
9,SR,1,A,赤から 新宿東口店,A1,A7,None,None,A1,A7
9,SR,1,A,居酒屋 四谷 なごみ,A2,None,None,None,A2,None
9,SR,1,A,赤から 渋谷本店,A1,A7,None,None,A1,A7
9,SR,1,A,Nihonbashi 1-1-1,None,None,None,None,None,None
9,SR,1,A,餃子専門店 藤井屋,None,None,None,None,None,None
9,SR,1,A,北丸 新宿南口店 （きたまる）,None,None,None,None,None,None
9,SR,1,A,牛たん酒場 たん之助 COMORE四谷店,A2,None,None,None,A2,None
9,SR,1,A,赤から 赤坂TBS通り店,A1,A7,None,None,A1,A7
9,SR,1,B,おでんやden（おでんやでん）,"A1,A4",A7,None,None,"A1,A4",A7
9,SR,1,B,純米酒専門YATA 新宿三丁目店（ヤタ）,A1,None,"A1,A4","A1,A1","A1,A4",A1
9,SR,1,B,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,A1,A7,None,None,A1,A7
9,SR,1,B,赤から 新宿東口店,None,None,A5,None,A5,None
9,SR,1,B,居酒屋 四谷 なごみ,None,None,None,None,None,None
9,SR,1,B,赤から 渋谷本店,None,None,A5,None,A5,None
9,SR,1,B,Nihonbashi 1-1-1,None,None,None,None,None,None
9,SR,1,B,餃子専門店 藤井屋,A1,None,None,None,A1,None
9,SR,1,B,北丸 新宿南口店 （きたまる）,None,None,None,None,None,None
9,SR,1,B,牛たん酒場 たん之助 COMORE四谷店,None,None,None,None,None,None
9,SR,1,B,赤から 赤坂TBS通り店,A1,None,A5,None,"A1,A5",None
9,SR,1,C,おでんやden（おでんやでん）,"A1,A2",A7,None,None,"A1,A2",A7
9,SR,1,C,純米酒専門YATA 新宿三丁目店（ヤタ）,A1,A7,A3,A1,"A1,A3","A7,A1"
9,SR,1,C,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,None,None,A2,A2,A2,A2
9,SR,1,C,赤から 新宿東口店,None,None,None,None,None,None
9,SR,1,C,居酒屋 四谷 なごみ,None,None,None,None,None,None
9,SR,1,C,赤から 渋谷本店,None,None,A2,None,A2,None
9,SR,1,C,Nihonbashi 1-1-1,None,None,None,None,None,None
9,SR,1,C,餃子専門店 藤井屋,None,None,None,None,None,None
9,SR,1,C,北丸 新宿南口店 （きたまる）,None,None,None,None,None,None
9,SR,1,C,牛たん酒場 たん之助 COMORE四谷店,None,None,None,None,None,None
9,SR,1,C,赤から 赤坂TBS通り店,None,None,None,None,None,None
9,SR,1,D,おでんやden（おでんやでん）,"A1,A2",A7,None,None,"A1,A2",A7
9,SR,1,D,純米酒専門YATA 新宿三丁目店（ヤタ）,None,None,"A2,A3",None,"A2,A3",None
9,SR,1,D,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,None,None,None,None,None,None
9,SR,1,D,赤から 新宿東口店,A1,A7,A5,A1,"A1,A5","A7,A1"
9,SR,1,D,居酒屋 四谷 なごみ,None,None,None,None,None,None
9,SR,1,D,赤から 渋谷本店,None,A7,A5,A1,A5,"A7,A1"
9,SR,1,D,Nihonbashi 1-1-1,None,None,None,None,None,None
9,SR,1,D,餃子専門店 藤井屋,None,None,None,None,None,None
9,SR,1,D,北丸 新宿南口店 （きたまる）,None,None,None,None,None,None
9,SR,1,D,牛たん酒場 たん之助 COMORE四谷店,None,None,None,None,None,None
9,SR,1,D,赤から 赤坂TBS通り店,None,A7,A5,A1,A5,"A7,A1"
9,SR,2,A,おでんやden（おでんやでん）,"A1,A2",A7,None,None,"A1,A2",A7
9,SR,2,A,純米酒専門YATA 新宿三丁目店（ヤタ）,"A1,A5","A7,A1",A2,A2,"A1,A5,A2","A7,A1,A2"
9,SR,2,A,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,A1,A7,None,None,A1,A7
9,SR,2,A,赤から 新宿東口店,A1,A7,None,None,A1,A7
9,SR,2,A,居酒屋 四谷 なごみ,"A1,A2",None,None,None,"A1,A2",None
9,SR,2,A,赤から 渋谷本店,A1,A7,None,None,A1,A7
9,SR,2,A,Nihonbashi 1-1-1,None,None,None,None,None,None
9,SR,2,A,餃子専門店 藤井屋,None,None,None,None,None,None
9,SR,2,A,北丸 新宿南口店 （きたまる）,None,None,None,None,None,None
9,SR,2,A,牛たん酒場 たん之助 COMORE四谷店,"A1,A2",None,None,None,"A1,A2",None
9,SR,2,A,赤から 赤坂TBS通り店,A1,A7,None,None,A1,A7
9,SR,2,B,おでんやden（おでんやでん）,A1,A7,None,None,A1,A7
9,SR,2,B,純米酒専門YATA 新宿三丁目店（ヤタ）,A2,None,"A1,A4","A1,A1","A2,A1,A4",A1
9,SR,2,B,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,A1,A7,A1,None,A1,A7
9,SR,2,B,赤から 新宿東口店,None,None,A5,None,A5,None
9,SR,2,B,居酒屋 四谷 なごみ,None,None,None,None,None,None
9,SR,2,B,赤から 渋谷本店,None,None,A5,None,A5,None
9,SR,2,B,Nihonbashi 1-1-1,None,None,None,None,None,None
9,SR,2,B,餃子専門店 藤井屋,A1,None,None,None,A1,None
9,SR,2,B,北丸 新宿南口店 （きたまる）,None,None,None,None,None,None
9,SR,2,B,牛たん酒場 たん之助 COMORE四谷店,None,None,None,None,None,None
9,SR,2,B,赤から 赤坂TBS通り店,None,None,A5,None,A5,None
9,SR,2,C,おでんやden（おでんやでん）,"A1,A2",A7,None,None,"A1,A2",A7
9,SR,2,C,純米酒専門YATA 新宿三丁目店（ヤタ）,A1,A7,"A2,A4,A3",A1,"A1,A2,A4,A3","A7,A1"
9,SR,2,C,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,None,None,"A2,A1",A2,"A2,A1",A2
9,SR,2,C,赤から 新宿東口店,None,None,None,None,None,None
9,SR,2,C,居酒屋 四谷 なごみ,None,None,None,None,None,None
9,SR,2,C,赤から 渋谷本店,None,None,A2,None,A2,None
9,SR,2,C,Nihonbashi 1-1-1,None,None,None,None,None,None
9,SR,2,C,餃子専門店 藤井屋,None,None,None,None,None,None
9,SR,2,C,北丸 新宿南口店 （きたまる）,A1,None,None,None,A1,None
9,SR,2,C,牛たん酒場 たん之助 COMORE四谷店,None,None,None,None,None,None
9,SR,2,C,赤から 赤坂TBS通り店,None,None,None,None,None,None
9,SR,2,D,おでんやden（おでんやでん）,"A1,A2,A3",A7,None,None,"A1,A2,A3",A7
9,SR,2,D,純米酒専門YATA 新宿三丁目店（ヤタ）,A1,None,A3,None,"A1,A3",None
9,SR,2,D,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,None,None,None,None,None,None
9,SR,2,D,赤から 新宿東口店,A1,A7,A5,A1,"A1,A5","A7,A1"
9,SR,2,D,居酒屋 四谷 なごみ,None,None,None,None,None,None
9,SR,2,D,赤から 渋谷本店,A1,A7,A5,A1,"A1,A5","A7,A1"
9,SR,2,D,Nihonbashi 1-1-1,None,None,None,None,None,None
9,SR,2,D,餃子専門店 藤井屋,None,None,None,None,None,None
9,SR,2,D,北丸 新宿南口店 （きたまる）,None,None,None,None,None,None
9,SR,2,D,牛たん酒場 たん之助 COMORE四谷店,None,None,None,None,None,None
9,SR,2,D,赤から 赤坂TBS通り店,A1,A7,A5,A1,"A1,A5","A7,A1"
9,SR,3,A,おでんやden（おでんやでん）,"A1,A2",A7,None,None,"A1,A2",A7
9,SR,3,A,純米酒専門YATA 新宿三丁目店（ヤタ）,A1,"A7,A1",A2,A2,"A1,A2","A7,A1,A2"
9,SR,3,A,博多串焼き・野菜巻き工房  渋谷宮益坂のごりょんさん,None,A7,None,None,None,A7
9,SR,3,A,赤から 新宿東口店,A1,A7,None,None,A1,A7
9,SR,3,A,居酒屋 四谷 なごみ,A2,None,None,None,A2,None
9,SR,3,A,赤から 渋谷本店,None,A7,None,None,None,A7
9,SR,3,A,Nihonbashi 1-1-1,None,None,None,None,None,None
9,SR,3,A,餃子専門店 藤井屋,None,None,None,None,None,None
