conversation_id,technique,iteration,participant,response,Answer,reasoning
9,ND,5,C,Agreeable,Moderate,スケジュール・時間・場所で順応的に合わせ、「その2つならどっちでもよい」と柔軟。最終的なおでん決定にも即賛同。
9,ND,5,D,Agreeable,Moderate,全体の合意を重視し、他者の意見を促進。「20時でよい？」「決定でいい？」など確認しつつ集約。自身のこだわりは薄く、合意に従う。
9,CoT,1,A,Agreeable,Moderate,『どっちでもいい』『おでんかな？』など周囲に合わせて意見を動かす場面が多い。
9,CoT,1,B,Moderate,Moderate,時間/店の性質に異議は出すが、最終的には合意に合わせて方針転換。
9,CoT,1,C,Agreeable,Moderate,『その2つならどっちでも』『正直YATAでもいい』など同調が多く、投票も切り替える。
9,CoT,1,D,Agreeable,Moderate,『同列』『決めよう』など合意形成を促し、他者案（おでん）を採用。
9,CoT,2,A,Agreeable,Moderate,時間・店ともに「どっちでも大丈夫」「本当どっちでもいい」と同調が多く、最終的におでん決定へ即同意。
9,CoT,2,B,Moderate,Moderate,時間19時不可やYATAの用途性など懸念を述べつつ、他者提案を取り込み最終的におでんへ同意。賛否バランス型。
9,CoT,2,C,Agreeable,Moderate,「そうね」「どっちでもよい」と同調が多く、立地懸念は出すが流れに合わせておでんへ賛同。
9,CoT,2,D,Agreeable,Moderate,進行・合意形成を主導しつつ「どこでもいい」「同列」など受容的で最終決定にも素早く合意。
9,CoT,3,A,Agreeable,Moderate,時間も店も他者に合わせる発言が多く（20時OK／どっちでも／おでんかな）、最終決定にも即同意して喜ぶ。
9,CoT,3,B,Moderate,Moderate,19時開始へ反対、YATAの性質を指摘など異論も出すが、議論後はおでんに賛同するなど最終的に歩調を合わせる。
9,CoT,3,C,Agreeable,Moderate,相槌・調整発言（「そうね」「一旦20時で」「おでんで〜」「よいよ〜」）が多く、他者の意見に寄り添う傾向が強い。
9,CoT,3,D,Agreeable,Moderate,進行しながらも「同列」「僕もそう」等で合意形成を促進し受容的。対立を避ける応答が多い。
9,CoT,4,A,Agreeable,Moderate,日程・時間・店に対して順応的に同意変更。「おでんかな？」「本当どっちでもいい」「よっしゃ!!!」と追随。
9,CoT,4,B,Moderate,Moderate,時刻19時へNO、YATAへの懸念提示など反対もするが、最終的におでんへ同意。賛否バランス型。
9,CoT,4,C,Agreeable,Moderate,「どっちでもよい」「YATAでもいい」「おでんかな」など周囲の流れに合わせやすい。
9,CoT,4,D,Agreeable,Moderate,合意形成を促しつつ自分の嗜好は弱め。「決定でいい？」など多数意見に沿って締める。
9,CoT,5,A,Agreeable,Moderate,時間・場所ともに「どっちでも」「本当どっちでもいい」と同調が多く、YATA推しからおでんへ自然に追随。
9,CoT,5,B,Moderate,Moderate,他者提案に対し「えぇ…」など軽い異議や懸念提示を行うが、議論と条件（2次会可、飲みすぎリスク）を踏まえ合意に収束。
9,CoT,5,C,Agreeable,Moderate,おでん票を入れつつ「YATAでもいい」「どっちでもよい」と高い受容性。立地懸念も提起に留め、流れに合わせる。
9,CoT,5,D,Agreeable,Moderate,終始ファシリ役。「プレゼンして」「決定でいい？」など合意形成を促し、自身もどちらでも良い姿勢で収束へ導く。
9,ZS,1,A,Agreeable,Moderate,時間や店について他者に合わせる発言が多く（23日決定、20時、店は「どっちでも」「おでんかな？」等）、柔軟に同意していく傾向。
9,ZS,1,B,Disagreeable,Moderate,他者提案への異議や修正が目立つ（19時→20時の主張、YATAへの否定的データ提示や「2軒目向き」等の反論）。自身の最終希望には固執しないが、しばしば反対・指摘を行う。
9,ZS,1,C,Agreeable,Moderate,「どっちでもよい」「YATAでもいい」「おでんで〜」など同調的・柔軟な応答が多く、他者の懸念（立地・騒がしさ等）も受け入れている。
9,ZS,1,D,Agreeable,Moderate,進行・合意形成に徹し、「じゃあ20時で」「決定でいい？」などまとめ役として同意・取りまとめが中心で反対は少ない。
9,ZS,2,A,Agreeable,Moderate,他者の意見に合わせて志向を変え、「本当どっちでもいい」「おでんだね」など同調的発言が多い。最終合意にも即応。
9,ZS,2,B,Moderate,Moderate,懸念点（YATAは食事向きでない等）を提示しつつも、結論には同意。「おでんだな」と折り合いをつけ、過度な反対はしない。
9,ZS,2,C,Moderate,Moderate,YATA優位から、アクセスや二次会性を踏まえおでん容認へシフト。賛同・留保をバランスよく示す。
9,ZS,2,D,Agreeable,Moderate,進行しながらも他者の希望を優先し、「決定でいい？」「僕もそう」と合意形成に寄り添う発言が多い。
9,ZS,3,A,Agreeable,Moderate,日時・場所ともに他者提案へ頻繁に同意（「どっちでも大丈夫」「本当どっちでもいい」等）し、最終案にも即同調。
9,ZS,3,B,Moderate,Moderate,時刻への異議や店の懸念（YATAは2軒目向き等）を示す一方、最終的には合意に参加。賛否がバランス。
9,ZS,3,C,Agreeable,Moderate,多数の「そうね」「どっちでもよい」発言で歩調を合わせ、立地配慮もしつつ最終決定に同調。
9,ZS,3,D,Moderate,Moderate,進行・集約を担いながら柔軟に同意するが、他者にプレゼン促す等の主導的発言もあり、迎合一辺倒ではない。
9,ZS,4,A,Agreeable,Moderate,「どっちでも大丈夫」「本当どっちでもいい」など周囲に合わせる発言が多く、最終的におでんへ素直に同調。
9,ZS,4,B,Moderate,Moderate,時間設定やYATA用途への異議、レビュー提示など反対・懸念を出す一方、結論には歩み寄る。賛否のバランスが中庸。
9,ZS,4,C,Agreeable,Moderate,「どっちでもよい」「日本酒飲めるから」など柔軟に迎合し、最終的におでんへ合意。
9,ZS,4,D,Agreeable,Moderate,進行しつつ他者の意見を尊重し、「どこでもいい」「同列」などの発言で調整・合意形成に寄与。
9,ZS,5,A,Agreeable,Moderate,時間や店の二択・最終決定で“どっちでも”“本当どっちでもいい”“おでんだね”と同調が多く、方針転換もスムーズ。
9,ZS,5,B,Disagreeable,Moderate,時間19時への否定、赤からTOP3への反応“えぇ、、、”、YATAへの懸念提示など異議・批判的レスが多い。一方で最終合意には従う。
9,ZS,5,C,Agreeable,Moderate,“私はどこも空いてる”“おでんで〜”など他者に歩調を合わせる発言が多く、YATA推しからの転換も容易。
9,ZS,5,D,Agreeable,Moderate,進行・合意形成に徹し、“僕もそう”“決定でいい？”と確認・受容が中心で対立を避ける。
67,ND,1,A,Agreeable,Moderate,「高円寺なら行ける」「そうしよ」など他者提案への追随が多く、全体に柔軟に合わせる姿勢が強い。
67,ND,1,B,Moderate,Agreeable,焼肉を一度は「なしだわ」と否定するが後に「美味そう」と軟化し、最終的に同意。賛否が混在しており中庸。
67,ND,1,C,Agreeable,Moderate,アクセス難を認めて譲歩し、「そうするか」「おけ」と最終合意に素直に同調。
67,ND,1,D,Agreeable,Agreeable,自身の焼肉志向は示すが、他者の刺身・アクセス事情を踏まえ「ニューヨックでもいいよ」「にゅーよっくにしますか」と合意形成を促進。
67,ND,2,A,Agreeable,Moderate,「全然行きたい」「そうしよ」「場所の縛りはそんなない」など他案への受容が多い。最終決定にも即同意。
67,ND,2,B,Moderate,Agreeable,焼肉を「なしだわ」と否定したり「逆張りで…」と揺れる一方、最終的には「やっぱニューヨック」「はい」と同調。賛否が交錯。
67,ND,2,C,Agreeable,Moderate,アクセス問題を理由に自案を引っ込め、「そうするか」「おけ」と最終合意に素直に同調。
67,ND,2,D,Agreeable,Agreeable,自案を出しつつも「ニューヨックでもいいよ」と他者案を受け入れ、最終的に「にゅーよっくにしますか」と合意形成を促進。
67,ND,3,A,Agreeable,Moderate,日程も店も柔軟に同調し、最終的に『そうしよ』とニューヨック案に賛成。
67,ND,3,B,Agreeable,Agreeable,『無理なら16でいい』『1945〜でもOK』『どちらでも俺は』など歩み寄りが多く、決定にも『はい』と同調。
67,ND,3,C,Agreeable,Moderate,23案を自ら撤回して19案に同調し、店も『そうするか』『おけ』とニューヨックに賛成。
67,ND,3,D,Agreeable,Agreeable,『Cが行けるなら何時でも』など時間面で柔軟に同調。店も『…でもいいよ』と受容し、合意形成を促した。
67,ND,4,A,Agreeable,Moderate,「場所の縛りはそんなない」「高円寺なら行ける」「そうしよ」など他者案への追随・同意が多い。
67,ND,4,B,Moderate,Agreeable,「逆張り」発言で一時反発しつつも「アナゴ…食いたくなる」「はい」と同意も多く、賛否が混在。
67,ND,4,C,Moderate,Moderate,「焼肉なしだわ」と否定した後に「1日置けば耐える」へ軟化し、最終「そうするか」「おけ」で同意。賛否が併存。
67,ND,4,D,Agreeable,Agreeable,他人案を肯定（豚バラいい、ニューヨックでもいい）しつつ「にゅーよっくにしますか」で合意形成を促進。
67,ND,5,A,Agreeable,Moderate,「高円寺なら行ける」「そうしよ」など他者提案への受容が多く、最終決定にも即同意。
67,ND,5,B,Moderate,Agreeable,他者提案に対し「なしだわ」と否定する一方で「どちらでも俺は」「はい」と受容もあり、同意・不同意が混在。
67,ND,5,C,Agreeable,Moderate,「そうするか」「おけ」と同意が多く、自身の一時的な提案撤回も素早い。
67,ND,5,D,Agreeable,Agreeable,「Cが行けるなら何時でも」など配慮が強く、「にゅーよっくにしますか」と合意形成を促進。
67,CoT,1,A,Agreeable,Moderate,『そうしよ』『全然行きたい』など他案に素直に乗り、柔軟。
67,CoT,1,B,Moderate,Agreeable,焼肉に一時的に好意も示すが最終的にNYへ。賛否が交錯し中庸。
67,CoT,1,C,Agreeable,Moderate,自身の提案からNYへ『そうするか』『おけ』と転換。周囲に歩調を合わせる傾向。
67,CoT,1,D,Agreeable,Agreeable,『にゅーよっくにしますか』と取りまとめ役。自案に固執せず同調的。
67,CoT,2,A,Agreeable,Moderate,他者案への同調が多く、最終決定でも「そうしよ」と追随。条件（中央線沿い・酒）で軽く補足しつつも合意形成に寄る。
67,CoT,2,B,Moderate,Agreeable,他者案に対しては時に否定（焼肉はなし）もするが、のちに撤回・再同意もあり賛否が混在。
67,CoT,2,C,Agreeable,Moderate,自案を出すもアクセス難を理由に早期に譲歩し、最終的にニューヨックに同意する柔軟姿勢。
67,CoT,2,D,Agreeable,Agreeable,自案提示後も他者の希望（中央線沿い・刺身）に合わせ「ニューヨックにしますか」と合意を促進。
67,CoT,3,A,Agreeable,Moderate,他者提案（ニューヨック）に「全然行きたい」「そうしよ」と同調し、中央線沿い希望など条件は述べるが結論には従順。
67,CoT,3,B,Moderate,Agreeable,焼肉案に対し「二日前に食うからなし」と異議も唱える一方、最終的にニューヨックへ賛同し「はい」と収束。賛否がバランス。
67,CoT,3,C,Agreeable,Moderate,自案を出しつつもアクセス難を理由に譲歩し、最終的に「そうするか」「おけ」と合意へ同調。
67,CoT,3,D,Agreeable,Agreeable,時間や店選びで「Cが行けるなら何時でも」「にゅーよっくにしますか」と合意形成を促進し、他者に合わせる傾向が強い。
67,CoT,4,A,Agreeable,Moderate,他者の提案に対し「そうしよ」など同調が多く、条件面の補足はするが反対は少ない。意思決定を促すファシリ的振る舞い。
67,CoT,4,B,Moderate,Agreeable,他者案（焼肉）に一度は「なし」と反応する一方で「美味そう」と受容も示す。最終的に集団に合わせるが、賛否が交錯し中庸。
67,CoT,4,C,Agreeable,Moderate,代替案提示後もアクセスや予定を理由に折れて同調。「そうするか」など受容的な反応が多い。
67,CoT,4,D,Agreeable,Agreeable,自身の提案後も他者の嗜好（刺身・アナゴ）に合わせて「にゅーよっくにしますか」と合意形成を主導。反対はほぼない。
67,CoT,5,A,Agreeable,Moderate,場所制約を共有しつつ他者案に乗る姿勢が多い。「そうしよ」「全然行きたい」など受容的。
67,CoT,5,B,Moderate,Agreeable,焼肉を否定→再評価と揺れつつ、最終的に自案へ収束。賛同と異論が交錯し中庸。
67,CoT,5,C,Agreeable,Moderate,自身の推しを出しつつもアクセスや禁酒等を踏まえて素早く方針転換。「そうするか」「おけ」など同調が多い。
67,CoT,5,D,Agreeable,Agreeable,自案提示後も他者の嗜好（刺身・中央線）を汲み「にゅーよっくにしますか」と合意形成側に回る。反対は少ない。
67,ZS,1,A,Agreeable,Moderate,他者提案への同調が多く、｢そうしよ｣などで最終決定を後押し。自分の都合（中央線沿い希望）を述べつつも店選びでは順応的。
67,ZS,1,B,Moderate,Agreeable,焼肉を一度｢なし｣とするなど否定もするが、最終的には全体に合わせて合意。賛同と反対が混在。
67,ZS,1,C,Agreeable,Moderate,複数案を出しつつも他者の都合（アクセス、禁酒など）を汲んで折れる場面が多く、最終的にニューヨックへ素直に合意。
67,ZS,1,D,Agreeable,Agreeable,自身の焼肉志向を示しながらも他者の希望（刺身、中央線沿い）に寄せ、ニューヨックでの合意を促進。
67,ZS,2,A,Moderate,Moderate,合意形成を促しつつ（『先にアンケート答えろ』）、条件面の補足を入れる。最終的には同意するが、主体的な賛否の振れは大きくない。
67,ZS,2,B,Moderate,Agreeable,他者案（焼肉）に『なし』と異議を唱える一方、流れには乗る（『じゃあそうするか』『はい』）。賛否が混在。
67,ZS,2,C,Agreeable,Moderate,日程や店案を何度も調整・撤回し、最終的にも『そうするか』と合わせる場面が多い。
67,ZS,2,D,Agreeable,Agreeable,時間は『何時でも』と柔軟姿勢を示し、店案も『にゅーよっくにしますか』と合意を取りにいく。反対は少ない。
67,ZS,3,A,Moderate,Moderate,他者提案を基本受け止めつつ、中央線沿い希望や高円寺店の酒の弱さを指摘するなど調整寄り。
67,ZS,3,B,Agreeable,Agreeable,他者の流れに合わせて心変わりしやすく、最終的にニューヨックへ同調。時間面でも柔軟。
67,ZS,3,C,Agreeable,Moderate,自案を出しつつも合意形成に素早く乗り、最終的に『そうするか』『おけ』と明確に追随。
67,ZS,3,D,Agreeable,Agreeable,自案（焼肉）を維持せず、『にゅーよっくにしますか』とまとめ役に回り、他者嗜好（刺身・穴子）にも歩み寄った。
67,ZS,4,A,Moderate,Moderate,三茶のアクセスにやや異議を挟みつつ、最終決定には賛同。調整役で同意・異議のバランスあり。
67,ZS,4,B,Agreeable,Agreeable,方針転換が多く、他者の流れに合わせて最終的に『はい』と合意するなど順応的。
67,ZS,4,C,Agreeable,Moderate,当初提案から迅速に折れて『そうするか』と合意。柔軟で追随傾向。
67,ZS,4,D,Agreeable,Agreeable,自案に固執せず『にゅーよっくにしますか』と合意形成を主導し、他者提案を受容。
67,ZS,5,A,Moderate,Moderate,他者案に前向きだが、三茶のアクセス問題や酒の品揃えなど条件面の指摘も行い、常に同調一辺倒ではない。
67,ZS,5,B,Agreeable,Agreeable,焼肉を一度否定しつつも後で評価し直すなど心変わりが早く、最終的にニューヨックへ素直に同調する場面が多い。
67,ZS,5,C,Agreeable,Moderate,自身の三茶推しを引っ込め、「そうするか」「おけ」とグループ決定に追随する発言が多い。
67,ZS,5,D,Agreeable,Agreeable,自身の焼肉案が退いた後も「ニューヨックにしますか」と決定を促し、他者の嗜好（刺身・中央線沿い）に合わせる柔軟姿勢。
8,ND,1,A,Agreeable,Agreeable,日程・時間・場所について「おっけー」「よさそう」「そうだね」など同調が多く、他者提案への受容が高い。
8,ND,1,B,Agreeable,Agreeable,「いいよー」「各自だね」「うんいいと思う」「そうしよ！！」など賛同が多く、柔軟に合わせている。
8,ND,1,C,Agreeable,Agreeable,「いつでもいける」「サムギョプサルもあり」など他者提案を積極的に肯定し、場を回しつつ同調的。
8,ND,1,D,Agreeable,Agreeable,「おけ！」「確かに！」「食べたい！」やサムギョプサル再同意など、ほぼ一貫して賛同姿勢。
8,ND,2,A,Agreeable,Agreeable,"Frequently affirmed others (“よさそう”, “食べたい！”, “そうだね”) and aligned with the emerging consensus."
8,ND,2,B,Agreeable,Agreeable,"Often agreed to others’ suggestions (“うんいいと思う！”, “そうしよ！！”, “ありーリベンジ”) and readily shifted from own preference."
8,ND,2,C,Agreeable,Agreeable,Flexible facilitator: acknowledged others (“サムギョプサルもあり！”) and moved toward consensus (“サムギョプサルにする？”).
8,ND,2,D,Agreeable,Agreeable,"Consistently positive to others’ ideas (“おけ”, “大丈夫”, “サムギョプサルはあり/もあり”) with no resistance."
8,ND,3,A,Agreeable,Agreeable,Frequently assented to time/place and options: 「おっけー！」「よさそう」「そうだね！」 and readily aligned with the samgyeopsal decision.
8,ND,3,B,Agreeable,Agreeable,Often agreed and adapted: 「いいよー🙆‍♀️」「うんいいと思う！」「そうしよ！！」 showing readiness to align with group choices.
8,ND,3,C,Agreeable,Agreeable,"While leading, C acknowledged others’ ideas: 「ここ知らなかった！」「個人的にはBの…気になる」 and framed choices inclusively, showing willingness to accommodate."
8,ND,3,D,Agreeable,Agreeable,Consistently supportive responses: 「おけ！」「大丈夫🙆‍♀️」「いつでもいける！」「サムギョプサルはあり」 indicating high alignment with group suggestions.
8,ND,4,A,Agreeable,Agreeable,日程・場所に即同意し、他者案（サムギョプサル）にも前向き。肯定的相槌が多い。
8,ND,4,B,Agreeable,Agreeable,他者案に対して「いいよー」「あり」「そうしよ！！」と前向きに追随。嗜好変更も抵抗がない。
8,ND,4,C,Agreeable,Agreeable,時間・場所に柔軟で、他の候補にも「あり」「気になる」と好意的。最終合意形成も周囲の同意を確認して進める。
8,ND,4,D,Agreeable,Agreeable,「おけ」「大丈夫」「あり」など賛同が一貫し、二重送信も冗談で和ませつつ合意に乗る。
8,ND,5,A,Agreeable,Agreeable,日程・時間・場所案に即同意し（「おっけー」「よさそう」）、他者案への抵抗がない。
8,ND,5,B,Agreeable,Agreeable,候補数や方向性に「うんいいと思う！」「そうしよ！！」と賛同し、提案より同意が多い。
8,ND,5,C,Agreeable,Agreeable,他者候補に関心を示し（「知らなかったから気になる」）、サムギョプサル案にも即賛同するなど受容的。
8,ND,5,D,Agreeable,Agreeable,時間・場所に柔軟（「大丈夫」「おけ」）で、サムギョプサルにも二度「あり」と賛同。反対はない。
8,CoT,1,A,Agreeable,Agreeable,日程・時間・場所への同意が早く多い。「おっけー」「よさそう」など相槌が多く、全体に合わせる姿勢。
8,CoT,1,B,Agreeable,Agreeable,「いいよー」「うんいいと思う」「そうしよ!!」など賛同が多く、他者案（ババ・ガンプやサムギョプサル）にも柔軟。
8,CoT,1,C,Moderate,Agreeable,進行しつつ他者案への興味も示すが、場をまとめる役回りで単純な追随ではない。
8,CoT,1,D,Agreeable,Agreeable,「おけ！」「大丈夫」「あり」「👍」など同意・受容の発言が多く、反対はほぼない。
8,CoT,2,A,Agreeable,Agreeable,日程・場所で「おっけー」「よさそう」と同調が多く、店選びも他案への賛同が中心。
8,CoT,2,B,Agreeable,Agreeable,日程修正への柔軟対応、「うんいいと思う！」「そうしよ！！」など賛同が多い。
8,CoT,2,C,Moderate,Agreeable,他者案に「ここ知らなかった」「気になる」と受容しつつ、最終決定を促す側面もあり、賛同一辺倒ではない。
8,CoT,2,D,Agreeable,Agreeable,「おけ！」「大丈夫」「あり」等の同調発言が多く、反対はしない。
8,CoT,3,A,Agreeable,Agreeable,日程・場所・店選びで即同意が多く、他者提案に柔軟。
8,CoT,3,B,Agreeable,Agreeable,他者提案に「いいよ」「そうしよ」で乗ることが多く、方針変更も素早い。
8,CoT,3,C,Moderate,Agreeable,同意もしつつ、論点整理と最終決定を促す役回り。過度な押し付けはない。
8,CoT,3,D,Agreeable,Agreeable,「いつでもいける」「あり」など同意表明が多く、抵抗は見られない。
8,CoT,4,A,Agreeable,Agreeable,日程・時間・場所に即同意が多く、店も他者提案（サムギョプサル）へ柔軟に乗り換え。
8,CoT,4,B,Agreeable,Agreeable,調整局面での同意が多く、最終決定も「そうしよ！！」で後押し。
8,CoT,4,C,Moderate,Agreeable,賛同しつつも問いかけ・整理で場を主導。単なる追随ではなく進行役。
8,CoT,4,D,Agreeable,Agreeable,多数の「おけ／大丈夫／あり」や👍で追随が目立つ。
8,CoT,5,A,Agreeable,Agreeable,日程・時間・場所で即同意が多く、「よさそう」「そうだね」など追随的応答が中心。
8,CoT,5,B,Agreeable,Agreeable,可否や場所方針で柔軟に合わせ、店選びでも他者案に素早く賛同し「そうしよ!!」で決定を後押し。
8,CoT,5,C,Moderate,Agreeable,他者案に肯定もしつつ、議論の整理・促進役。同意一辺倒ではなくファシリ重視。
8,CoT,5,D,Agreeable,Agreeable,「おけ！」「あり」など賛同が連発され、結論に向けて同調的。
8,ZS,1,A,Agreeable,Agreeable,日程や場所にすぐ同意し、店選びでも他者の提案に前向きに追随。
8,ZS,1,B,Agreeable,Agreeable,日程・場所・店いずれも柔軟に同意し、最終的にサムギョプサルへ賛成。
8,ZS,1,C,Agreeable,Agreeable,他者の候補に対して「知らなかったから気になる」「うんいいと思う」など前向きで、全体調整もしつつ賛意を示す発言が多い。
8,ZS,1,D,Agreeable,Agreeable,日程・場所・店の各局面で「おけ」「大丈夫」「あり」など同意表明が多く、流れに乗っている。
8,ZS,2,A,Agreeable,Agreeable,日程・場所・店提案に対して「おっけー」「よさそう」「食べたい！」など賛同が多く、最終的にも周囲の同意を得て決定に乗っている。
8,ZS,2,B,Agreeable,Agreeable,他者の提案に「いいよー」「うんいいと思う！」「そうしよ！！」と同調が多く、柔軟に他者案へ寄せる傾向。
8,ZS,2,C,Agreeable,Agreeable,進行しつつも他者候補に興味を示し「あり！」など受容的発言が多い。合意形成を促す発言が中心。
8,ZS,2,D,Agreeable,Agreeable,「おけ！」「確かに！」「サムギョプサルはあり」など賛同が継続。反対せず集団の流れに乗る姿勢が目立つ。
8,ZS,3,A,Agreeable,Agreeable,他者案に対して「よさそう」「食べたい」など前向き反応が多く、サムギョプサルにもすぐ賛同。
8,ZS,3,B,Agreeable,Agreeable,「うんいいと思う」「そうしよ！！」「ありー」など同意が多く、柔軟に意見を合わせている。
8,ZS,3,C,Agreeable,Agreeable,候補出しを促しつつも他者案に共感・同意が多く、反対はほぼない。合意形成を優先。
8,ZS,3,D,Agreeable,Agreeable,「あり」「👍」など受容的な反応が中心で反対は見られない。
8,ZS,4,A,Agreeable,Agreeable,日程・場所・最終方針に対して『おっけー』『よさそう』など同意が多く、流れに乗る傾向が強い。
8,ZS,4,B,Agreeable,Agreeable,『いいよー』『うんいいと思う』『そうしよ！！』など賛同が多く、日程修正にも柔軟に対応。
8,ZS,4,C,Moderate,Agreeable,合意形成を進めつつも自分の案も提示し、単純な追従ではないバランス型。
8,ZS,4,D,Agreeable,Agreeable,『おけ！』『大丈夫』『👍』など賛同・追従が多く、流れに合わせやすい。
8,ZS,5,A,Agreeable,Agreeable,日程・時間・場所（本郷）に即応し、他者の提案（サムギョプサル）にも前向き。感謝・同意が多く協調的。
8,ZS,5,B,Agreeable,Agreeable,各自提案方針への同意、他者案（後楽園やサムギョプサル）への乗り換えが早く、「そうしよ!!」で合意形成を後押し。
8,ZS,5,C,Agreeable,Agreeable,進行役として全体に配慮しつつ、Aのサムギョプサル推しにも即応。「元々私が出したし行きたかった」と合意を包摂的に肯定。
8,ZS,5,D,Agreeable,Agreeable,「おけ！」「確かに！」「食べたい！」など賛同が多く、他案容認も目立つ。合意形成を阻害しない態度。
49,ND,1,A,Agreeable,Disagreeable,Cの『くしがいい』に対し『おっけ』『じゃあそこにしよ』と即同意し、全体的に受容的。
49,ND,1,B,Agreeable,Disagreeable,Aの牛角拒否に『俺も嫌』と同調し、Cの串志向にも『おけー』『串ってうめーよ』で賛同。
49,ND,1,C,Moderate,Moderate,牛角には『いや』と否定しつつ、全体の進行や時間には『おけ』で同意。賛否が混在。
49,ND,2,A,Moderate,Disagreeable,牛角には「やだ」と不一致を示しつつも、最終的にはCの希望に合わせて「じゃあそこにしよ」と合意。賛同と不賛同が混在。
49,ND,2,B,Agreeable,Disagreeable,日程・店の合意に対し「おけまる」「おけー」「りょ」など同調が多く、串案にも前向きで全体的に柔軟。
49,ND,2,C,Disagreeable,Moderate,牛角に即反対し、Bの「別案でもいい」発言にも「いや…行きたい」と自己希望を優先して押し通す傾向が見られた。
49,ND,3,A,Agreeable,Disagreeable,複数回の「おっけー」「じゃあそこにしよ」など同調発言が多く、最終的にCの希望に合わせて決定。反対は牛角への一度の拒否のみ。
49,ND,3,B,Agreeable,Disagreeable,日程も店も「おけまる」「りょ」「おけー」など肯定が多く、Aの牛角拒否にも同調して撤回。全体的に迎合的。
49,ND,3,C,Moderate,Moderate,「おけおけ」「いいんじゃね」など同意もしつつ、牛角や別案には「いや」で明確に否定し、自分の希望（串）に寄せる動きもあるため中庸。
49,ND,4,A,Agreeable,Disagreeable,他者の提案に対して「おっけー」「じゃあそこにしよ」と合わせる発言が多く、最終的にCの希望に同調。牛角のみ明確に拒否したが全体としては協調的。
49,ND,4,B,Agreeable,Disagreeable,日程では即同意し、店選びは牛角を外す点でAに同調、串系に賛成し最終決定にも「おけー」と同意。柔軟で協調的。
49,ND,4,C,Moderate,Moderate,時間や最終決定に「おけおけ」「おけ」と同調する一方、Bの別案に対しては「いや…いきたいわ」と希望を通す発言もあり、同意と反対が混在。
49,ND,5,A,Agreeable,Disagreeable,Frequently accepted others’ suggestions (そしたらどっちでもいい; おっけ; じゃあそこにしよ) and adapted to group direction.
49,ND,5,B,Agreeable,Disagreeable,"Rejected 牛角 along with others (俺も嫌), endorsed C’s preference (串ってうめーよ), and agreed to the final decision (おけー). Mild counter-suggestion but ultimately conformed."
